NAME OF FACILITY,STAR RATING,TYPE OF FACILITY,OWNERSHIP,REG,YEAR,COU,SOURCE TAB,SN
MABAMBA,2,HEALTH CENTRES,UNKNOWN,4 KIG,2015,5 KIB DC,KIGOMA,
MABIBO DISPENSARY,2,DISPENSARIES,LGA,,,,DAR ES SALAAM (KNONDONI),3
MABIBO HOSTEL,1,DISPENSARIES,PARASTATAL,,,,DAR ES SALAAM (KNONDONI),123
MABWEPANDE,2,DISPENSARIES,LGA,,,,DAR ES SALAAM (KNONDONI),49
MACHIPI DISPENSARY,0,,,,,,PWANI,
MADALE,2,DISPENSARIES,LGA,,,,DAR ES SALAAM (KNONDONI),68
MAFARASI KIGOGO,2,DISPENSARIES,PRIVATE,,,,DAR ES SALAAM (KNONDONI),119
MAFARASI MULEBA,1,DISPENSARIES,PRIVATE,,,,DAR ES SALAAM (KNONDONI),32
MAFIA DC HOSPITAL,0,,,,,,PWANI,6
MAFIZI,0,,,,,,PWANI,
MAGARAMA,0,DISPENSARIES,PUBLIC,4 KIG,2015,5 KIB DC,KIGOMA,
MAGAWA DISPENSARY,1,,,,,,PWANI,
MAGEREZA,0,,,,,,PWANI,
MAGINDU,1,,,,,,PWANI,
MAGOMENI,2,HEALTH CENTRES,LGA,,,,DAR ES SALAAM (KNONDONI),6
MAGOZA DISPENSARY,1,,,,,,PWANI,
MAHALE DISPENSARY,0,DISPENSARIES,PRIVATE,4 KIG,2015,8 UVI DC,KIGOMA,
MAHEGE,1,,,,,,PWANI,
MAHEMBE DISPENSARY,0,DISPENSARIES,PUBLIC,4 KIG,2015,6 KIG DC,KIGOMA,
MAILIMOJA,0,,,,,,PWANI,
MAKERE DISPENSARY,1,DISPENSARIES,PUBLIC,4 KIG,2015,3 KAS DC,KIGOMA,
MAKOMBE DISPENSARY,0,,,,,,PWANI,
MAKONGO JUU,1,DISPENSARIES,LGA,,,,DAR ES SALAAM (KNONDONI),146
MAKUBURI,3,DISPENSARIES,LGA,,,,DAR ES SALAAM (KNONDONI),35
MAKURUNGE,1,,,,,,PWANI,
MALAGARASI DISPENSARY,0,DISPENSARIES,UNKNOWN,4 KIG,2015,8 UVI DC,KIGOMA,
MAMA NGOMA,1,HOSPITALS,PRIVATE,,,,DAR ES SALAAM (KNONDONI),12
MANDAMAZINGARA,0,,,,,,PWANI,
MANDERA,1,,,,,,PWANI,
MANEROMANGO,1,,,,,,PWANI,
MANEROMANGO,1,,,,,,PWANI,12
MANZESE,1,DISPENSARIES,LGA,,,,DAR ES SALAAM (KNONDONI),43
MAPARONI,0,,,,,,PWANI,
MAPINGA,1,,,,,,PWANI,
MARIE STOPES - MABIBO,1,DISPENSARIES,NGO,,,,DAR ES SALAAM (KNONDONI),25
MARIE STOPES MWENGE,1,HOSPITALS,PRIVATE,,,,DAR ES SALAAM (KNONDONI),7
MARIE STOPES- KIMARA,2,DISPENSARIES,NGO,,,,DAR ES SALAAM (KNONDONI),6
MARIMBANI,0,,,,,,PWANI,
MARISE DISPENSARY,0,DISPENSARIES,PRIVATE,,,,DAR ES SALAAM (KNONDONI),1
MAROGORO DISPENSARY,1,,,,,,PWANI,
MARUI,0,,,,,,PWANI,
MARUMBA DISPENSARY,0,DISPENSARIES,PUBLIC,4 KIG,2015,4 KAS TC,KIGOMA,
MASAKI,1,,,,,,PWANI,10
MASANA,2,HOSPITALS,PRIVATE,,,,DAR ES SALAAM (KNONDONI),9
MASANGANYA,1,,,,,,PWANI,
MASHUDA,1,DISPENSARIES,PRIVATE,,,,DAR ES SALAAM (KNONDONI),75
MASIMBANI,1,,,,,,PWANI,
MASUGURU DISPENSARY,0,,,,,,PWANI,
MATAYA DISPENSARY,1,,,,,,PWANI,
MATENDO DISPENSARY,0,DISPENSARIES,PUBLIC,4 KIG,2015,6 KIG DC,KIGOMA,
MATIMBWA,0,,,,,,PWANI,
MATIPWILI,1,,,,,,PWANI,
MATULI DISP,1,,,,,,PWANI,
MATYAZO,1,HEALTH CENTRES,UNKNOWN,4 KIG,2015,6 KIG DC,KIGOMA,
MAUTO,1,DISPENSARIES,PRIVATE,,,,DAR ES SALAAM (KNONDONI),69
MAVURUNZA,3,DISPENSARIES,LGA,,,,DAR ES SALAAM (KNONDONI),27
MBAMBE,0,,,,,,PWANI,
MBEGANI,1,,,,,,PWANI,
MBEZI LUIS DISPENSARY,3,DISPENSARIES,LGA,,,,DAR ES SALAAM (KNONDONI),8
MBEZI MLUNGWANA,1,,,,,,PWANI,
MBOGA DISPENSARY,1,,,,,,PWANI,
MBOPO,2,DISPENSARIES,LGA,,,,DAR ES SALAAM (KNONDONI),51
MBUCHI,0,,,,,,PWANI,
MBURAHATI,4,DISPENSARIES,LGA,,,,DAR ES SALAAM (KNONDONI),110
MBWAWA,1,,,,,,PWANI,
MBWENI,2,DISPENSARIES,LGA,,,,DAR ES SALAAM (KNONDONI),65
MBWENI JKT,2,DISPENSARIES,Military,,,,DAR ES SALAAM (KNONDONI),61
MBWENI MISSION,2,HOSPITALS,FBO,,,,DAR ES SALAAM (KNONDONI),10
MBWENI MPIJI,2,DISPENSARIES,LGA,,,,DAR ES SALAAM (KNONDONI),62
MBWERA,0,,,,,,PWANI,20
MBWEWE DISPENSARY,1,,,,,,PWANI,
MBWEWETAYMA,0,,,,,,PWANI,
MCDIT-DISPENSARY BARUTI,1,DISPENSARIES,PRIVATE,,,,DAR ES SALAAM (KNONDONI),83
MCHINGA,0,,,,,,PWANI,
MCHINGA,0,,,,,,PWANI,
MCHINGA,0,,,,,,PWANI,8
MCHINGA,0,,,,,,PWANI,9
MCHINGA,0,,,,,,PWANI,17
MCHUKWI,1,,,,,,PWANI,
MCHUKWI MISSION HOSPITAL,2,,,,,,PWANI,1
MCHUNGU,0,,,,,,PWANI,
MDIMNI DISPENSARY,1,,,,,,PWANI,
MEDEWEL,1,,,,,,PWANI,23
MEGRA,1,DISPENSARIES,PRIVATE,,,,DAR ES SALAAM (KNONDONI),116
MEIGY,0,DISPENSARIES,PRIVATE,,,,DAR ES SALAAM (KNONDONI),50
MFISINI,0,,,,,,PWANI,
MGALAGANZA DISPENSARY,0,DISPENSARIES,PUBLIC,4 KIG,2015,6 KIG DC,KIGOMA,
MGAMBO HEALTH CENTRE,1,HEALTH CENTRES,UNKNOWN,4 KIG,2015,8 UVI DC,KIGOMA,
MGANZA DISPENSARY,0,DISPENSARIES,PUBLIC,4 KIG,2015,8 UVI DC,KIGOMA,
MICO,0,,,,,,PWANI,
MICO AAT,1,DISPENSARIES,FBO,,,,DAR ES SALAAM (KNONDONI),84
MICO ANNEX,1,DISPENSARIES,PRIVATE,,,,DAR ES SALAAM (KNONDONI),157
MICO CHALINZE,1,,,,,,PWANI,
MICO DARAJANI,1,DISPENSARIES,FBO,,,,DAR ES SALAAM (KNONDONI),26
MICO KIMARA DISPENSARY,1,DISPENSARIES,FBO,,,,DAR ES SALAAM (KNONDONI),85
MICO MABIBO FARASI,0,DISPENSARIES,FBO,,,,DAR ES SALAAM (KNONDONI),5
MICO MARS,1,DISPENSARIES,PRIVATE,,,,DAR ES SALAAM (KNONDONI),156
MICO MAZINDE,0,,,,,,PWANI,
MICO MIDIZINI,1,DISPENSARIES,FBO,,,,DAR ES SALAAM (KNONDONI),121
MICO MKWAJUNI,1,DISPENSARIES,PRIVATE,,,,DAR ES SALAAM (KNONDONI),158
MICO NDUGUMBI,1,DISPENSARIES,FBO,,,,DAR ES SALAAM (KNONDONI),117
MICO SALASALA,1,DISPENSARIES,PRIVATE,,,,DAR ES SALAAM (KNONDONI),129
MICO SINZA,1,HEALTH CENTRES,FBO,,,,DAR ES SALAAM (KNONDONI),11
MICO TANDALE,0,DISPENSARIES,FBO,,,,DAR ES SALAAM (KNONDONI),30
MIGONGO,0,DISPENSARIES,PUBLIC,4 KIG,2015,1 BUH DC,KIGOMA,
MIHUGA,0,,,,,,PWANI,
MIKOCHENI MISSION,3,HOSPITALS,PRIVATE,,,,DAR ES SALAAM (KNONDONI),11
MIKONKO DSP,0,DISPENSARIES,PUBLIC,4 KIG,2015,5 KIB DC,KIGOMA,
MIKUMI,1,HOSPITALS,PRIVATE,,,,DAR ES SALAAM (KNONDONI),14
MIKURU HEALTH CARE,1,DISPENSARIES,PRIVATE,,,,DAR ES SALAAM (KNONDONI),88
MILO DISPENSARY,0,,,,,,PWANI,
MINAKI,0,,,,,,PWANI,
MINYINYI,0,DISPENSARIES,PUBLIC,4 KIG,2015,5 KIB DC,KIGOMA,
MIONO,1,,,,,,PWANI,6
MISUGUSUGU,0,,,,,,PWANI,
MISWE,1,,,,,,PWANI,
MIWAGA,0,,,,,,PWANI,
MK DISPENSARY,0,,,,,,PWANI,
MKABOGO,0,DISPENSARIES,PUBLIC,4 KIG,2015,6 KIG DC,KIGOMA,
MKAMBA,1,,,,,,PWANI,7
MKANGE DISPENSARY,0,,,,,,PWANI,
MKENDA,0,,,,,,PWANI,
MKENGE,1,,,,,,PWANI,
MKIGO DISPENSARY,0,DISPENSARIES,PUBLIC,4 KIG,2015,6 KIG DC,KIGOMA,
MKIU DISPENSARY,1,,,,,,PWANI,
MKOANI,2,,,,,,PWANI,21
MKOKO DISPENSARY,1,,,,,,PWANI,
MKONGO,1,,,,,,PWANI,
MKONGOLO,0,DISPENSARIES,PUBLIC,4 KIG,2015,6 KIG DC,KIGOMA,
MKUPUKA,1,,,,,,PWANI,
MKUPUKA,1,,,,,,PWANI,
MKURANGA DC HOSPITAL,1,,,,,,PWANI,4
MKUZA DISPENSARY,0,,,,,,PWANI,
MLALAKUWA,2,DISPENSARIES,LGA,,,,DAR ES SALAAM (KNONDONI),112
MLALAKUWA JKT,2,DISPENSARIES,Military,,,,DAR ES SALAAM (KNONDONI),57
MLAMLENI,1,,,,,,PWANI,
MLANDIZI,3,,,,,,PWANI,1
MLANZI,0,,,,,,PWANI,
MLELA,0,DISPENSARIES,PUBLIC,4 KIG,2015,8 UVI DC,KIGOMA,
MLINGOTINI,1,,,,,,PWANI,
MMR,1,DISPENSARIES,PRIVATE,,,,DAR ES SALAAM (KNONDONI),79
MNA DISPENSARY,1,DISPENSARIES,PRIVATE,,,,DAR ES SALAAM (KNONDONI),4
MNG'ARU DISPENSARY,0,,,,,,PWANI,
MOHORO,1,,,,,,PWANI,11
MOUNT UKOMBOZI,1,HOSPITALS,PRIVATE,,,,DAR ES SALAAM (KNONDONI),20
MOYO SAFI WA MARIA,3,HEALTH CENTRES,FBO,,,,DAR ES SALAAM (KNONDONI),4
MPAFU DISPENSARY,1,,,,,,PWANI,
MPERAMUMBI,0,,,,,,PWANI,
MPIJI MAGOHE,2,DISPENSARIES,LGA,,,,DAR ES SALAAM (KNONDONI),10
MSALA,0,,,,,,PWANI,
MSAMBARA DISP,2,DISPENSARIES,PRIVATE,4 KIG,2015,4 KAS TC,KIGOMA,
MSAMWA DISPENSARY,1,,,,,,PWANI,
MSANGA DISPENSARY,0,,,,,,PWANI,
MSASANI PENINSULA,1,HOSPITALS,PRIVATE,,,,DAR ES SALAAM (KNONDONI),8
MSATA,1,,,,,,PWANI,
MSEWE,2,DISPENSARIES,LGA,,,,DAR ES SALAAM (KNONDONI),98
MSIMBA DISPENSARY,1,DISPENSARIES,PUBLIC,4 KIG,2015,6 KIG DC,KIGOMA,
MSINDAJI,0,,,,,,PWANI,
MSISIRI,1,DISPENSARIES,PRIVATE,,,,DAR ES SALAAM (KNONDONI),72
MSOGA DISPENSARY,1,,,,,,PWANI,
MSOLWA DISPENSARY,0,,,,,,PWANI,
MSORWA,0,,,,,,PWANI,
MSUA,0,,,,,,PWANI,
MSUFINI DISPENSARY,0,DISPENSARIES,PUBLIC,4 KIG,2015,7 KIG MC,KIGOMA,
MSUFINI KIDETE,1,,,,,,PWANI,
MSUMI,2,DISPENSARIES,LGA,,,,DAR ES SALAAM (KNONDONI),91
MTAKUJA DISPENSARY,0,,,,,,PWANI,
MTANGA DISPENSARY,0,DISPENSARIES,PUBLIC,4 KIG,2015,6 KIG DC,KIGOMA,
MTANZA,1,,,,,,PWANI,
MTEGO WA NOTI,0,DISPENSARIES,PUBLIC,4 KIG,2015,8 UVI DC,KIGOMA,
MTUNDA,1,,,,,,PWANI,
MUBANGA,1,DISPENSARIES,PRIVATE,4 KIG,2015,1 BUH DC,KIGOMA,
MUGAMBAZI,0,DISPENSARIES,PUBLIC,4 KIG,2015,8 UVI DC,KIGOMA,
MUGERA,1,DISPENSARIES,PUBLIC,4 KIG,2015,1 BUH DC,KIGOMA,
MUGOMBE DISPENSARY,0,DISPENSARIES,PUBLIC,4 KIG,2015,3 KAS DC,KIGOMA,
MUGUNZU DISPENSARY,0,DISPENSARIES,PUBLIC,4 KIG,2015,2 KAK DC,KIGOMA,
MUHANGE,0,DISPENSARIES,PUBLIC,4 KIG,2015,2 KAK DC,KIGOMA,
MUHINDA,2,DISPENSARIES,PRIVATE,4 KIG,2015,1 BUH DC,KIGOMA,
MUHUNGA DISPENSARY,1,DISPENSARIES,PUBLIC,4 KIG,2015,4 KAS TC,KIGOMA,
MUKABUYE,1,DISPENSARIES,PUBLIC,4 KIG,2015,5 KIB DC,KIGOMA,
MUKARAZI,1,DISPENSARIES,PUBLIC,4 KIG,2015,5 KIB DC,KIGOMA,
MULERA,1,HEALTH CENTRES,PRIVATE,4 KIG,2015,1 BUH DC,KIGOMA,
MUNANILA,1,DISPENSARIES,PUBLIC,4 KIG,2015,1 BUH DC,KIGOMA,
MURUFITI DISPENSARY,1,DISPENSARIES,PUBLIC,4 KIG,2015,4 KAS TC,KIGOMA,
MUSAGARA,0,DISPENSARIES,PRIVATE,4 KIG,2015,1 BUH DC,KIGOMA,
MUSINUNE DISPENSARY,1,,,,,,PWANI,
MUTALA DISPENSARY,1,DISPENSARIES,PUBLIC,4 KIG,2015,3 KAS DC,KIGOMA,
MUYAMA,0,HEALTH CENTRES,PUBLIC,4 KIG,2015,1 BUH DC,KIGOMA,
MUYOVOSI HEALTH CENTRE,0,HEALTH CENTRES,PUBLIC,4 KIG,2015,3 KAS DC,KIGOMA,
MUYUYU DISPENSARY,0,,,,,,PWANI,
MUZDALIFA DISPENSARY,0,DISPENSARIES,PRIVATE,4 KIG,2015,4 KAS TC,KIGOMA,
MUZDALIFAH,0,DISPENSARIES,PRIVATE,4 KIG,2015,7 KIG MC,KIGOMA,
MUZYE DISPENSARY,1,DISPENSARIES,PUBLIC,4 KIG,2015,3 KAS DC,KIGOMA,
MVINZA DISPENSARY,0,DISPENSARIES,PUBLIC,4 KIG,2015,3 KAS DC,KIGOMA,
MVUNGWE DISPENSARY,0,DISPENSARIES,PUBLIC,4 KIG,2015,3 KAS DC,KIGOMA,
MWAKIZEGA DISPENSARY,0,DISPENSARIES,UNKNOWN,4 KIG,2015,8 UVI DC,KIGOMA,
MWALI DISPENSARY,0,DISPENSARIES,PUBLIC,4 KIG,2015,3 KAS DC,KIGOMA,
MWAMGONGO,1,HEALTH CENTRES,UNKNOWN,4 KIG,2015,6 KIG DC,KIGOMA,
MWAMILA DISPENSARY,0,DISPENSARIES,PUBLIC,4 KIG,2015,8 UVI DC,KIGOMA,
MWANABWITO,0,,,,,,PWANI,
MWANAMBAYA,1,,,,,,PWANI,
MWANDIGA DISPENSARY,1,DISPENSARIES,PUBLIC,4 KIG,2015,6 KIG DC,KIGOMA,
MWANGA DISPENSARY,1,DISPENSARIES,PUBLIC,4 KIG,2015,4 KAS TC,KIGOMA,
MWANZO MGUMU,1,,,,,,PWANI,
MWARUSEMBE,0,,,,,,PWANI,
MWASENI DISPENSARY,0,,,,,,PWANI,
MWAYAYA,1,DISPENSARIES,PUBLIC,4 KIG,2015,1 BUH DC,KIGOMA,
MWENDAPOLE,0,,,,,,PWANI,
MWENGE,2,DISPENSARIES,LGA,,,,DAR ES SALAAM (KNONDONI),152
MWIBUYE DISPENSARY,2,DISPENSARIES,PUBLIC,4 KIG,2015,4 KAS TC,KIGOMA,
MZENGA,0,,,,,,PWANI,16
MZIMUNI,3,DISPENSARIES,LGA,,,,DAR ES SALAAM (KNONDONI),31
NABUHIMA,1,DISPENSARIES,PUBLIC,4 KIG,2015,5 KIB DC,KIGOMA,
NAMBUNJU,1,,,,,,PWANI,
NAME OF DISP 2,0,,,,,,PWANI,
NAME OF DISP 3,1,DISPENSARIES,PUBLIC,4 KIG,2015,7 KIG MC,KIGOMA,
NAME OF DISP 3,0,DISPENSARIES,UNKNOWN,4 KIG,2015,8 UVI DC,KIGOMA,
NARCO DISPENSARY,0,,,,,,PWANI,
NASIBUGANI,1,,,,,,PWANI,
NDABOINE DISPENSARY,0,DISPENSARIES,PRIVATE,4 KIG,2015,7 KIG MC,KIGOMA,
NDAGONI DISPENSARY,0,,,,,,PWANI,
NDUMBWI,1,DISPENSARIES,LGA,,,,DAR ES SALAAM (KNONDONI),138
NDUNDUNYIKANZA,0,,,,,,PWANI,
NDUNDUTAWA,0,,,,,,PWANI,
NDUTA REFUGEE CAMP,3,DISPENSARIES,PRIVATE,4 KIG,2015,5 KIB DC,KIGOMA,
NEEMA,1,HEALTH CENTRES,PRIVATE,,,,DAR ES SALAAM (KNONDONI),1
NENGO DISPENSARY,2,DISPENSARIES,PUBLIC,4 KIG,2015,5 KIB DC,KIGOMA,
NENGO DISPENSARY,2,DISPENSARIES,PUBLIC,4 KIG,2015,5 KIB DC,KIGOMA,
NEW MSASANI,1,DISPENSARIES,PRIVATE,,,,DAR ES SALAAM (KNONDONI),73
NEW TEGETA,1,DISPENSARIES,PRIVATE,,,,DAR ES SALAAM (KNONDONI),53
NGARAMBE,0,,,,,,PWANI,
NGETA,0,,,,,,PWANI,
NGORONGO,1,,,,,,PWANI,
NGULAKULA,1,,,,,,PWANI,
NGURUKA HEALTH CENTRE,1,HEALTH CENTRES,UNKNOWN,4 KIG,2015,8 UVI DC,KIGOMA,
NJIA NNE DISPENSARY,1,,,,,,PWANI,
NJOPEKA DISPENSARY,1,,,,,,PWANI,
NKONKWA DISPENSARY,0,DISPENSARIES,PUBLIC,4 KIG,2015,8 UVI DC,KIGOMA,
NKUNDUTSI DISPENSARY,1,DISPENSARIES,PUBLIC,4 KIG,2015,3 KAS DC,KIGOMA,
NKUNGWE DISPENSARY,0,DISPENSARIES,PUBLIC,4 KIG,2015,6 KIG DC,KIGOMA,
NSILO,1,DISPENSARIES,PRIVATE,,,,DAR ES SALAAM (KNONDONI),107
NURAIFO,0,DISPENSARIES,PRIVATE,,,,DAR ES SALAAM (KNONDONI),56
NURAIFO DISPENSARY,1,DISPENSARIES,PRIVATE,,,,DAR ES SALAAM (KNONDONI),86
NURRHAIFO MAWIMBI,1,DISPENSARIES,PRIVATE,,,,DAR ES SALAAM (KNONDONI),29
NYABIBUYE,0,DISPENSARIES,PUBLIC,4 KIG,2015,2 KAK DC,KIGOMA,
NYABITAKA DISPENSARY,1,DISPENSARIES,PUBLIC,4 KIG,2015,5 KIB DC,KIGOMA,
NYACHENDA DISPENSARY,0,DISPENSARIES,PUBLIC,4 KIG,2015,3 KAS DC,KIGOMA,
NYAGWIJIMA DISPENSARY,0,DISPENSARIES,PUBLIC,4 KIG,2015,2 KAK DC,KIGOMA,
NYAKASANDA DISPENSARY,0,DISPENSARIES,PUBLIC,4 KIG,2015,5 KIB DC,KIGOMA,
NYAKAYENZI DISPENSARY,0,DISPENSARIES,PUBLIC,4 KIG,2015,2 KAK DC,KIGOMA,
NYAKIMWE,1,DISPENSARIES,PRIVATE,4 KIG,2015,1 BUH DC,KIGOMA,
NYAKINYO DISPENSARY,0,,,,,,PWANI,
NYAKITONTO HEALTH CENTRE,2,HEALTH CENTRES,PUBLIC,4 KIG,2015,3 KAS DC,KIGOMA,
NYAMABUYE,1,DISPENSARIES,PUBLIC,4 KIG,2015,1 BUH DC,KIGOMA,
NYAMATO DISPENSARY,1,,,,,,PWANI,
NYAMBILI,1,,,,,,PWANI,
NYAMBUNDA,1,,,,,,PWANI,
NYAMHOZA DISPENSARY,1,DISPENSARIES,PUBLIC,4 KIG,2015,6 KIG DC,KIGOMA,
NYAMIDAHO DISPENSARY,1,DISPENSARIES,PUBLIC,4 KIG,2015,3 KAS DC,KIGOMA,
NYAMINYWILI,0,,,,,,PWANI,18
NYAMISATI,1,,,,,,PWANI,
NYAMISIVYI,1,DISPENSARIES,PUBLIC,4 KIG,2015,5 KIB DC,KIGOMA,
NYAMNYUSI DISPENSARY,1,DISPENSARIES,PUBLIC,4 KIG,2015,3 KAS DC,KIGOMA,
NYAMORI DISPENSARY,0,DISPENSARIES,PUBLIC,4 KIG,2015,6 KIG DC,KIGOMA,
NYAMTUKUZA,0,DISPENSARIES,PUBLIC,4 KIG,2015,2 KAK DC,KIGOMA,
NYAMWAGE,1,,,,,,PWANI,
NYANGANGA,0,DISPENSARIES,PUBLIC,4 KIG,2015,8 UVI DC,KIGOMA,
NYANGE,1,DISPENSARIES,PUBLIC,4 KIG,2015,5 KIB DC,KIGOMA,
NYANKORONKO,0,DISPENSARIES,PUBLIC,4 KIG,2015,1 BUH DC,KIGOMA,
NYANZA DISPENSARY,0,DISPENSARIES,PUBLIC,4 KIG,2015,8 UVI DC,KIGOMA,
NYANZIGE,0,HEALTH CENTRES,PUBLIC,4 KIG,2015,2 KAK DC,KIGOMA,
NYARUBANDA,1,DISPENSARIES,PUBLIC,4 KIG,2015,6 KIG DC,KIGOMA,
NYARUBOZA,1,DISPENSARIES,PUBLIC,4 KIG,2015,1 BUH DC,KIGOMA,
NYARUGUNGA,1,DISPENSARIES,PUBLIC,4 KIG,2015,5 KIB DC,KIGOMA,
NYARUGUSU,0,DISPENSARIES,PUBLIC,4 KIG,2015,5 KIB DC,KIGOMA,
NYARUGUSU DISPENSARY,0,DISPENSARIES,PUBLIC,4 KIG,2015,3 KAS DC,KIGOMA,
NYARUGUSU REFUGEES HEALTH CENTRE,1,HEALTH CENTRES,PRIVATE,4 KIG,2015,3 KAS DC,KIGOMA,
NYARUYOBA,1,DISPENSARIES,PUBLIC,4 KIG,2015,5 KIB DC,KIGOMA,
NYENGE HEALTH CENTRE,1,HEALTH CENTRES,PUBLIC,4 KIG,2015,3 KAS DC,KIGOMA,
NYOTA YA BAHARI,2,,,,,,PWANI,2
NYUMBIGWA DISP,0,DISPENSARIES,PUBLIC,4 KIG,2015,4 KAS TC,KIGOMA,
OMEK,2,DISPENSARIES,PRIVATE,,,,DAR ES SALAAM (KNONDONI),34
OYSTERBAY,1,DISPENSARIES,LGA,,,,DAR ES SALAAM (KNONDONI),149
P0NGWE SUNGURA,0,,,,,,PWANI,
PAMILA DISPENSARY,1,DISPENSARIES,PUBLIC,4 KIG,2015,6 KIG DC,KIGOMA,
PANDE,0,,,,,,PWANI,
PANGASENGA,0,DISPENSARIES,PRIVATE,,,,DAR ES SALAAM (KNONDONI),87
PK,2,DISPENSARIES,PRIVATE,,,,DAR ES SALAAM (KNONDONI),54
POLICE,0,,,,,,PWANI,
POLICE DISPENSARY,0,DISPENSARIES,PUBLIC,4 KIG,2015,7 KIG MC,KIGOMA,
PONGWEKIONA,1,,,,,,PWANI,
PRIME CARE MAKABE,1,DISPENSARIES,PRIVATE,,,,DAR ES SALAAM (KNONDONI),104
PRISONS FORCE,0,DISPENSARIES,PUBLIC,4 KIG,2015,7 KIG MC,KIGOMA,
RED CROSS HUMANITARIAN,1,DISPENSARIES,PRIVATE,,,,DAR ES SALAAM (KNONDONI),60
REKO DISPENSARY,0,,,,,,PWANI,
RTS KIHANGAIKO,1,,,,,,PWANI,
RUARUKE DISPENSARY,0,,,,,,PWANI,
RUFIJI,1,,,,,,PWANI,
RUGUNGA,1,DISPENSARIES,PUBLIC,4 KIG,2015,5 KIB DC,KIGOMA,
RUHITA DISPENSARY,1,DISPENSARIES,PUBLIC,4 KIG,2015,4 KAS TC,KIGOMA,
RUMASHI,0,DISPENSARIES,PUBLIC,4 KIG,2015,2 KAK DC,KIGOMA,
RUNGUNGU,1,,,,,,PWANI,
RUNGWE MPYA DISPENSARY,0,DISPENSARIES,PUBLIC,4 KIG,2015,3 KAS DC,KIGOMA,
RUPUNGWI,1,,,,,,PWANI,
RUSABA,1,DISPENSARIES,PUBLIC,4 KIG,2015,1 BUH DC,KIGOMA,
RUSESA HEALTH CENTRE,2,HEALTH CENTRES,PUBLIC,4 KIG,2015,3 KAS DC,KIGOMA,
RUSIMBI,0,DISPENSARIES,PUBLIC,4 KIG,2015,7 KIG MC,KIGOMA,
RUSOHOKO,1,DISPENSARIES,PUBLIC,4 KIG,2015,5 KIB DC,KIGOMA,
RUVU DARAJANI,1,,,,,,PWANI,
RUVU JKT,1,,,,,,PWANI,
RUVU SECONDARY,0,,,,,,PWANI,
RUVU STATION,0,,,,,,PWANI,
RUWE DISPENSARY,0,,,,,,PWANI,
SAADANI,0,,,,,,PWANI,
SALAAMAN,2,HOSPITALS,PRIVATE,,,,DAR ES SALAAM (KNONDONI),13
SALALE DISPENSARY,0,,,,,,PWANI,
SALAMA 1- BARUTI,1,DISPENSARIES,NGO,,,,DAR ES SALAAM (KNONDONI),7
SALASALA,3,DISPENSARIES,LGA,,,,DAR ES SALAAM (KNONDONI),164
SALENI,1,,,,,,PWANI,
SALI,1,HOSPITALS,PRIVATE,,,,DAR ES SALAAM (KNONDONI),5
SAMARITAN,1,DISPENSARIES,PRIVATE,,,,DAR ES SALAAM (KNONDONI),74
SAMVURA DISPENSARY,2,DISPENSARIES,PUBLIC,4 KIG,2015,5 KIB DC,KIGOMA,
SANGASANGA,0,,,,,,PWANI,
SANITAS,2,HOSPITALS,PRIVATE,,,,DAR ES SALAAM (KNONDONI),17
SDA,0,DISPENSARIES,PRIVATE,4 KIG,2015,7 KIG MC,KIGOMA,
SDA DISPENSARY,1,DISPENSARIES,PRIVATE,4 KIG,2015,4 KAS TC,KIGOMA,
SERENGETI B KADA MDAULA,1,,,,,,PWANI,
SHUNGA HEALTH CENTRE,2,HEALTH CENTRES,PRIVATE,4 KIG,2015,3 KAS DC,KIGOMA,
SHUNGUBWENI,1,,,,,,PWANI,
SHUNGULIBA DISPENSARY,1,DISPENSARIES,PUBLIC,4 KIG,2015,3 KAS DC,KIGOMA,
SIBWESA DISPENSARY,0,DISPENSARIES,PUBLIC,4 KIG,2015,8 UVI DC,KIGOMA,
SIGUNGA DISPENSARY,0,DISPENSARIES,PUBLIC,4 KIG,2015,8 UVI DC,KIGOMA,
SIMBO DISPENSARY,0,DISPENSARIES,PUBLIC,4 KIG,2015,6 KIG DC,KIGOMA,
SINO,0,HOSPITALS,PRIVATE,,,,DAR ES SALAAM (KNONDONI),18
SINZA HOSPITAL,2,HOSPITALS,LGA,,,,DAR ES SALAAM (KNONDONI),1
SISA,1,HEALTH CENTRES,PRIVATE,,,,DAR ES SALAAM (KNONDONI),8
SOFU DISPENSARY,0,,,,,,PWANI,
SOGA,0,,,,,,PWANI,
SONGAMBELE,0,DISPENSARIES,PUBLIC,4 KIG,2015,1 BUH DC,KIGOMA,
SONGAMBELE DISPENSARY,0,DISPENSARIES,PUBLIC,4 KIG,2015,8 UVI DC,KIGOMA,
SOTELE DISPENSARY,0,,,,,,PWANI,
ST. BENEDICT,1,DISPENSARIES,PRIVATE,,,,DAR ES SALAAM (KNONDONI),159
ST. BRENDAN,2,DISPENSARIES,PRIVATE,,,,DAR ES SALAAM (KNONDONI),58
ST. CLARA HAULE,1,DISPENSARIES,PRIVATE,,,,DAR ES SALAAM (KNONDONI),163
ST. GETRUDE,0,,,,,,PWANI,
ST. MONICA,1,HOSPITALS,PRIVATE,,,,DAR ES SALAAM (KNONDONI),19
ST. THERESA,1,DISPENSARIES,PRIVATE,,,,DAR ES SALAAM (KNONDONI),139
ST.ELIZABETH,1,,,,,,PWANI,13
ST.FRANCIS XAVIER,1,,,,,,PWANI,
